==================================================
Basic editing
==================================================
Ctrl+X            Cut line (empty selection)
Ctrl+C            Copy line (empty selection)
Ctrl+Shift+K      Delete line
Ctrl+Enter        Insert line below
Ctrl+Shift+Enter  Insert line above
Ctrl+Shift+\      Jump to matching bracket
Ctrl+]            Indent/outdent line
Home/End          Go to beginning/end of line
Ctrl+Home/End     Go to beginning/end of file
Alt+Up/Down       Move line up/Down
Ctrl+Up/Down      Scroll line up/down
Alt+PgUp/PgDn     Scroll page up/down
Ctrl+Shift+[/]    Fold/unfold region
Ctrl+K Ctrl+[/]   Fold/unfold all subregions
Ctrl+K Ctrl+0     Fold all regions
Ctrl+K Ctrl+J     Fold/Unfold all regions
Ctrl+K Ctrl+C     Add line comment
Ctrl+K Ctrl+U     Remove line comment
Ctrl+/            Toggle line comment
Ctrl+Shift+A      Toggle block comment
Alt+Z             Toggle word wrap
Ctrl+Shift+L      Create cursors on each ocorrence of string
